"question","perceived_difficulty","unbounded_perceived_difficulty"
1,0.0892857142857143,-2.32238772029023
2,0.305820895522388,-0.819730380985197
3,0.337236842105263,-0.675632219381579
4,0.386315789473684,-0.462825338295922
5,0.464096385542169,-0.143862063012402
6,0.439402985074627,-0.243585360479387
7,0.461194029850746,-0.155536681435135
8,0.454625,-0.182000728136621
9,0.361111111111111,-0.570544858467613
10,0.440875,-0.237611673196796
11,0.462352941176471,-0.150873779024943
12,0.601194029850746,0.410442719181917
13,0.401486486486486,-0.399275228460591
14,0.62859375,0.526188704589595
15,0.641891891891892,0.583584978048419
