"question_observed","question_evaluated","success_observed","true_conditional_prob"
1,1,0,0
1,2,0,0
1,3,0,1
1,4,0,0
1,5,0,1
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,1,1,1
1,2,1,0.861111111111111
1,3,1,0.675925925925926
1,4,1,0.689814814814815
1,5,1,0.546296296296296
1,6,1,0.523148148148148
1,7,1,0.398148148148148
1,8,1,0.472222222222222
1,9,1,0.569444444444444
1,10,1,0.416666666666667
1,11,1,0.523148148148148
1,12,1,0.166666666666667
1,13,1,0.305555555555556
1,14,1,0.138888888888889
1,15,1,0.0972222222222222
2,1,0,0.967741935483871
2,2,0,0
2,3,0,0.419354838709677
2,4,0,0.32258064516129
2,5,0,0.290322580645161
2,6,0,0.354838709677419
2,7,0,0.161290322580645
2,8,0,0.193548387096774
2,9,0,0.419354838709677
2,10,0,0.225806451612903
2,11,0,0.129032258064516
2,12,0,0.0645161290322581
2,13,0,0.129032258064516
2,14,0,0.032258064516129
2,15,0,0
2,1,1,1
2,2,1,1
2,3,1,0.720430107526882
2,4,1,0.747311827956989
2,5,1,0.591397849462366
2,6,1,0.548387096774194
2,7,1,0.435483870967742
2,8,1,0.516129032258065
2,9,1,0.591397849462366
2,10,1,0.446236559139785
2,11,1,0.586021505376344
2,12,1,0.182795698924731
2,13,1,0.333333333333333
2,14,1,0.155913978494624
2,15,1,0.112903225806452
3,1,0,1
3,2,0,0.742857142857143
3,3,0,0
3,4,0,0.485714285714286
3,5,0,0.414285714285714
3,6,0,0.214285714285714
3,7,0,0.242857142857143
3,8,0,0.185714285714286
3,9,0,0.371428571428571
3,10,0,0.328571428571429
3,11,0,0.357142857142857
3,12,0,0.1
3,13,0,0.2
3,14,0,0.0571428571428571
3,15,0,0.0714285714285714
3,1,1,0.993197278911565
3,2,1,0.91156462585034
3,3,1,1
3,4,1,0.782312925170068
3,5,1,0.612244897959184
3,6,1,0.666666666666667
3,7,1,0.469387755102041
3,8,1,0.605442176870748
3,9,1,0.659863945578231
3,10,1,0.45578231292517
3,11,1,0.598639455782313
3,12,1,0.197278911564626
3,13,1,0.353741496598639
3,14,1,0.17687074829932
3,15,1,0.108843537414966
4,1,0,0.985294117647059
4,2,0,0.691176470588235
4,3,0,0.470588235294118
4,4,0,0
4,5,0,0.25
4,6,0,0.235294117647059
4,7,0,0.132352941176471
4,8,0,0.176470588235294
4,9,0,0.397058823529412
4,10,0,0.279411764705882
4,11,0,0.264705882352941
4,12,0,0.0735294117647059
4,13,0,0.147058823529412
4,14,0,0.0441176470588235
4,15,0,0.0147058823529412
4,1,1,1
4,2,1,0.932885906040268
4,3,1,0.771812080536913
4,4,1,1
4,5,1,0.684563758389262
4,6,1,0.651006711409396
4,7,1,0.516778523489933
4,8,1,0.604026845637584
4,9,1,0.644295302013423
4,10,1,0.476510067114094
4,11,1,0.63758389261745
4,12,1,0.208053691275168
4,13,1,0.375838926174497
4,14,1,0.181208053691275
4,15,1,0.134228187919463
5,1,0,1
5,2,0,0.775510204081633
5,3,0,0.581632653061224
5,4,0,0.479591836734694
5,5,0,0
5,6,0,0.357142857142857
5,7,0,0.224489795918367
5,8,0,0.285714285714286
5,9,0,0.510204081632653
5,10,0,0.295918367346939
5,11,0,0.346938775510204
5,12,0,0.102040816326531
5,13,0,0.163265306122449
5,14,0,0.0816326530612245
5,15,0,0.0306122448979592
5,1,1,0.991596638655462
5,2,1,0.92436974789916
5,3,1,0.756302521008403
5,4,1,0.857142857142857
5,5,1,1
5,6,1,0.65546218487395
5,7,1,0.53781512605042
5,8,1,0.621848739495798
5,9,1,0.61344537815126
5,10,1,0.512605042016807
5,11,1,0.663865546218487
5,12,1,0.218487394957983
5,13,1,0.420168067226891
5,14,1,0.184873949579832
5,15,1,0.151260504201681
6,1,0,0.990384615384615
6,2,0,0.807692307692308
6,3,0,0.471153846153846
6,4,0,0.5
6,5,0,0.394230769230769
6,6,0,0
6,7,0,0.221153846153846
6,8,0,0.269230769230769
6,9,0,0.471153846153846
6,10,0,0.317307692307692
6,11,0,0.423076923076923
6,12,0,0.0961538461538462
6,13,0,0.163461538461538
6,14,0,0.0769230769230769
6,15,0,0.0576923076923077
6,1,1,1
6,2,1,0.902654867256637
6,3,1,0.867256637168142
6,4,1,0.858407079646018
6,5,1,0.690265486725664
6,6,1,1
6,7,1,0.557522123893805
6,8,1,0.654867256637168
6,9,1,0.654867256637168
6,10,1,0.504424778761062
6,11,1,0.610619469026549
6,12,1,0.230088495575221
6,13,1,0.433628318584071
6,14,1,0.194690265486726
6,15,1,0.132743362831858
7,1,0,0.99236641221374
7,2,0,0.801526717557252
7,3,0,0.595419847328244
7,4,0,0.549618320610687
7,5,0,0.419847328244275
7,6,0,0.381679389312977
7,7,0,0
7,8,0,0.33587786259542
7,9,0,0.50381679389313
7,10,0,0.358778625954198
7,11,0,0.450381679389313
7,12,0,0.0916030534351145
7,13,0,0.213740458015267
7,14,0,0.0534351145038168
7,15,0,0.0229007633587786
7,1,1,1
7,2,1,0.941860465116279
7,3,1,0.802325581395349
7,4,1,0.895348837209302
7,5,1,0.744186046511628
7,6,1,0.732558139534884
7,7,1,1
7,8,1,0.674418604651163
7,9,1,0.662790697674419
7,10,1,0.5
7,11,1,0.627906976744186
7,12,1,0.27906976744186
7,13,1,0.441860465116279
7,14,1,0.267441860465116
7,15,1,0.209302325581395
8,1,0,0.991304347826087
8,2,0,0.782608695652174
8,3,0,0.504347826086956
8,4,0,0.51304347826087
8,5,0,0.391304347826087
8,6,0,0.339130434782609
8,7,0,0.243478260869565
8,8,0,0
8,9,0,0.434782608695652
8,10,0,0.4
8,11,0,0.426086956521739
8,12,0,0.0695652173913043
8,13,0,0.182608695652174
8,14,0,0.0695652173913043
8,15,0,0.0173913043478261
8,1,1,1
8,2,1,0.941176470588235
8,3,1,0.872549019607843
8,4,1,0.88235294117647
8,5,1,0.725490196078431
8,6,1,0.725490196078431
8,7,1,0.568627450980392
8,8,1,1
8,9,1,0.715686274509804
8,10,1,0.431372549019608
8,11,1,0.627450980392157
8,12,1,0.274509803921569
8,13,1,0.441176470588235
8,14,1,0.215686274509804
8,15,1,0.186274509803922
9,1,0,0.98936170212766
9,2,0,0.808510638297872
9,3,0,0.531914893617021
9,4,0,0.563829787234043
9,5,0,0.48936170212766
9,6,0,0.414893617021277
9,7,0,0.308510638297872
9,8,0,0.308510638297872
9,9,0,0
9,10,0,0.372340425531915
9,11,0,0.382978723404255
9,12,0,0.127659574468085
9,13,0,0.159574468085106
9,14,0,0.0531914893617021
9,15,0,0.0638297872340425
9,1,1,1
9,2,1,0.894308943089431
9,3,1,0.788617886178862
9,4,1,0.780487804878049
9,5,1,0.59349593495935
9,6,1,0.601626016260163
9,7,1,0.463414634146341
9,8,1,0.59349593495935
9,9,1,1
9,10,1,0.447154471544715
9,11,1,0.626016260162602
9,12,1,0.195121951219512
9,13,1,0.414634146341463
9,14,1,0.203252032520325
9,15,1,0.121951219512195
10,1,0,0.992125984251969
10,2,0,0.811023622047244
10,3,0,0.62992125984252
10,4,0,0.614173228346457
10,5,0,0.456692913385827
10,6,0,0.440944881889764
10,7,0,0.338582677165354
10,8,0,0.456692913385827
10,9,0,0.535433070866142
10,10,0,0
10,11,0,0.377952755905512
10,12,0,0.165354330708661
10,13,0,0.181102362204724
10,14,0,0.141732283464567
10,15,0,0.102362204724409
10,1,1,1
10,2,1,0.922222222222222
10,3,1,0.744444444444444
10,4,1,0.788888888888889
10,5,1,0.677777777777778
10,6,1,0.633333333333333
10,7,1,0.477777777777778
10,8,1,0.488888888888889
10,9,1,0.611111111111111
10,10,1,1
10,11,1,0.722222222222222
10,12,1,0.166666666666667
10,13,1,0.477777777777778
10,14,1,0.133333333333333
10,15,1,0.0888888888888889
11,1,0,0.990384615384615
11,2,0,0.740384615384615
11,3,0,0.567307692307692
11,4,0,0.519230769230769
11,5,0,0.384615384615385
11,6,0,0.423076923076923
11,7,0,0.307692307692308
11,8,0,0.365384615384615
11,9,0,0.442307692307692
11,10,0,0.240384615384615
11,11,0,0
11,12,0,0.105769230769231
11,13,0,0.144230769230769
11,14,0,0.0961538461538462
11,15,0,0.0576923076923077
11,1,1,1
11,2,1,0.964601769911504
11,3,1,0.778761061946903
11,4,1,0.84070796460177
11,5,1,0.699115044247788
11,6,1,0.610619469026549
11,7,1,0.47787610619469
11,8,1,0.566371681415929
11,9,1,0.68141592920354
11,10,1,0.575221238938053
11,11,1,1
11,12,1,0.221238938053097
11,13,1,0.451327433628319
11,14,1,0.176991150442478
11,15,1,0.132743362831858
12,1,0,0.994475138121547
12,2,0,0.839779005524862
12,3,0,0.651933701657459
12,4,0,0.651933701657459
12,5,0,0.513812154696133
12,6,0,0.480662983425414
12,7,0,0.342541436464088
12,8,0,0.408839779005525
12,9,0,0.546961325966851
12,10,0,0.414364640883978
12,11,0,0.486187845303867
12,12,0,0
12,13,0,0.259668508287293
12,14,0,0.0607734806629834
12,15,0,0.0386740331491713
12,1,1,1
12,2,1,0.944444444444444
12,3,1,0.805555555555556
12,4,1,0.861111111111111
12,5,1,0.722222222222222
12,6,1,0.722222222222222
12,7,1,0.666666666666667
12,8,1,0.777777777777778
12,9,1,0.666666666666667
12,10,1,0.416666666666667
12,11,1,0.694444444444444
12,12,1,1
12,13,1,0.527777777777778
12,14,1,0.527777777777778
12,15,1,0.388888888888889
13,1,0,0.993377483443709
13,2,0,0.821192052980132
13,3,0,0.629139072847682
13,4,0,0.615894039735099
13,5,0,0.456953642384106
13,6,0,0.423841059602649
13,7,0,0.317880794701987
13,8,0,0.377483443708609
13,9,0,0.47682119205298
13,10,0,0.311258278145695
13,11,0,0.410596026490066
13,12,0,0.112582781456954
13,13,0,0
13,14,0,0.0993377483443709
13,15,0,0.0463576158940397
13,1,1,1
13,2,1,0.93939393939394
13,3,1,0.787878787878788
13,4,1,0.848484848484849
13,5,1,0.757575757575758
13,6,1,0.742424242424242
13,7,1,0.575757575757576
13,8,1,0.681818181818182
13,9,1,0.772727272727273
13,10,1,0.651515151515151
13,11,1,0.772727272727273
13,12,1,0.287878787878788
13,13,1,1
13,14,1,0.227272727272727
13,15,1,0.212121212121212
14,1,0,0.994652406417112
14,2,0,0.839572192513369
14,3,0,0.647058823529412
14,4,0,0.6524064171123
14,5,0,0.518716577540107
14,6,0,0.486631016042781
14,7,0,0.336898395721925
14,8,0,0.427807486631016
14,9,0,0.524064171122995
14,10,0,0.417112299465241
14,11,0,0.497326203208556
14,12,0,0.0909090909090909
14,13,0,0.272727272727273
14,14,0,0
14,15,0,0.0267379679144385
14,1,1,1
14,2,1,0.966666666666667
14,3,1,0.866666666666667
14,4,1,0.9
14,5,1,0.733333333333333
14,6,1,0.733333333333333
14,7,1,0.766666666666667
14,8,1,0.733333333333333
14,9,1,0.833333333333333
14,10,1,0.4
14,11,1,0.666666666666667
14,12,1,0.633333333333333
14,13,1,0.5
14,14,1,1
14,15,1,0.533333333333333
15,1,0,0.994897959183674
15,2,0,0.841836734693878
15,3,0,0.668367346938776
15,4,0,0.658163265306122
15,5,0,0.51530612244898
15,6,0,0.5
15,7,0,0.346938775510204
15,8,0,0.423469387755102
15,9,0,0.551020408163265
15,10,0,0.418367346938776
15,11,0,0.5
15,12,0,0.112244897959184
15,13,0,0.26530612244898
15,14,0,0.0714285714285714
15,15,0,0
15,1,1,1
15,2,1,1
15,3,1,0.761904761904762
15,4,1,0.952380952380952
15,5,1,0.857142857142857
15,6,1,0.714285714285714
15,7,1,0.857142857142857
15,8,1,0.904761904761905
15,9,1,0.714285714285714
15,10,1,0.380952380952381
15,11,1,0.714285714285714
15,12,1,0.666666666666667
15,13,1,0.666666666666667
15,14,1,0.761904761904762
15,15,1,1
