Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68712cd07454d9afbac7a16d,66e9cc5fb04f5ba6d8b5a3f1,APPROVED,Not Applicable,2025-07-11T15:26:08.214000Z,2025-07-11T15:37:59.779000Z,2025-07-11T18:17:45.255000Z,2025-07-11T15:38:00.228360Z,712.0,C16TQU91,2552,64,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68712ce3f6e87a790f1ae469,561bbdf9811d22000df3138a,APPROVED,Not Applicable,2025-07-11T15:25:28.775000Z,2025-07-11T15:40:15.258000Z,2025-07-11T18:17:45.503000Z,2025-07-11T15:40:15.697545Z,887.0,C16TQU91,10678,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68712ced7b4610abdd9b25c7,6630fa3cace5d440fe152f91,RETURNED,Not Applicable,2025-07-11T15:25:42.804000Z,,,2025-12-17T15:11:49.264532Z,,,1757,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68712d947d2b9a79199a697b,63b772f79d1c57ef22409e28,APPROVED,Not Applicable,2025-07-11T15:28:29.457000Z,2025-07-11T15:41:47.611000Z,2025-07-11T18:17:45.769000Z,2025-07-11T15:41:48.097946Z,799.0,C16TQU91,1137,39,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68712e1f788ac34c50e21987,67b79f603be3fd7ed3889909,APPROVED,Not Applicable,2025-07-11T15:30:42.852000Z,2025-07-11T15:41:14.739000Z,2025-07-11T18:17:46.036000Z,2025-07-11T15:41:15.233171Z,632.0,C16TQU91,290,20,Female,White,Colombia,United States,Colombia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68712e642b8c87e91be23a88,654c3b4d5a50df498c551b64,APPROVED,Not Applicable,2025-07-11T15:32:01.511000Z,2025-07-11T15:42:52.536000Z,2025-07-11T18:17:46.310000Z,2025-07-11T15:42:53.017708Z,652.0,C16TQU91,523,51,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68712f0bf407772eb74007f8,66d69d42515fac1f2273d10e,RETURNED,Not Applicable,2025-07-11T15:34:41.104000Z,,,2025-12-17T15:11:49.263970Z,,,1567,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68712fb0cb191b745f2c97c9,67dbcd7722043bf1d1671b92,APPROVED,Not Applicable,2025-07-11T15:37:26.612000Z,2025-07-11T15:57:27.690000Z,2025-07-11T18:17:46.572000Z,2025-07-11T15:57:28.172938Z,1202.0,C16TQU91,1623,34,Male,White,United States,United States,United States,English,No,Full-Time
68712fd04f3e3ca930fbc8e3,604a7e9f84bf0e7937200df5,APPROVED,Not Applicable,2025-07-11T15:37:55.408000Z,2025-07-11T15:45:49.947000Z,2025-07-11T18:17:46.809000Z,2025-07-11T15:45:50.450245Z,475.0,C16TQU91,7278,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6871302b6701385e1ae6820e,66df47a9c26ea6aa4a71fc0f,RETURNED,Not Applicable,2025-07-11T15:39:31.077000Z,,,2025-12-17T15:11:49.265453Z,,,2990,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687130a20ca6898439e1258c,614e2446523bb49af662fb62,APPROVED,Not Applicable,2025-07-11T15:41:25.115000Z,2025-07-11T15:49:42.716000Z,2025-07-11T18:17:47.048000Z,2025-07-11T15:49:44.103138Z,498.0,C16TQU91,5302,32,Male,White,United States,United States,United States,English,No,Full-Time
687130b36367ed6ecab0ca72,5ee04a3f7dfcae39390e6553,RETURNED,Not Applicable,2025-07-11T15:41:45.360000Z,,,2025-12-17T15:11:49.265599Z,,,5403,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687131baec65882c99d4533b,6682b0b622da87763c14179c,APPROVED,Not Applicable,2025-07-11T15:46:09.252000Z,2025-07-11T15:57:22.169000Z,2025-07-11T18:17:47.350000Z,2025-07-11T15:57:22.628859Z,673.0,C16TQU91,1952,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
687131f76b6de499daf3ed8d,5c6b646349b7f0000120b659,APPROVED,Not Applicable,2025-07-11T15:47:07.514000Z,2025-07-11T16:00:34.817000Z,2025-07-11T18:17:47.584000Z,2025-07-11T16:00:35.225756Z,808.0,C16TQU91,4030,69,Female,White,United States Minor Outlying Islands,United States,United States,English,No,Part-Time
68713327fa0897b82eda37c3,671934d775824411ab318539,APPROVED,Not Applicable,2025-07-11T15:52:11.224000Z,2025-07-11T16:00:47.920000Z,2025-07-11T18:17:47.824000Z,2025-07-11T16:00:48.345582Z,517.0,C16TQU91,193,46,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
687133291405b3dbd408cb8e,5e0b416415ef4038dba6d93f,APPROVED,Not Applicable,2025-07-11T15:52:18.308000Z,2025-07-11T16:01:57.534000Z,2025-07-11T18:17:48.122000Z,2025-07-11T16:01:57.975890Z,580.0,C16TQU91,1278,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6871332aeb28bf71b44078ba,60cb3c4b9454f7a196355088,APPROVED,Not Applicable,2025-07-11T15:52:17.044000Z,2025-07-11T16:01:48.304000Z,2025-07-11T18:17:48.361000Z,2025-07-11T16:01:48.777730Z,572.0,C16TQU91,5888,38,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6871332b441bec29cf95d3e3,5c3b70640eaa0100018ea877,APPROVED,Not Applicable,2025-07-11T15:52:16.041000Z,2025-07-11T16:02:09.582000Z,2025-07-11T18:17:48.596000Z,2025-07-11T16:02:10.634872Z,594.0,C16TQU91,9987,60,Male,White,United States,United States,United States,English,No,Part-Time
6871332ca6b5ccf94abc5a50,67b9dca816c05c8ab44e4404,APPROVED,Not Applicable,2025-07-11T15:55:01.093000Z,2025-07-11T16:02:25.288000Z,2025-07-11T18:17:48.822000Z,2025-07-11T16:02:25.730145Z,445.0,C16TQU91,510,35,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6871332cf46fa881e05e7232,6644f37947ff3c7c3f9bbca1,APPROVED,Not Applicable,2025-07-11T15:52:30.190000Z,2025-07-11T15:57:51.528000Z,2025-07-11T18:17:49.045000Z,2025-07-11T15:57:52.015382Z,322.0,C16TQU91,1250,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6871332dc153e874a7218a4c,5ef4d8b87faaa00c0dea0c4e,APPROVED,Not Applicable,2025-07-11T15:54:59.588000Z,2025-07-11T16:12:39.261000Z,2025-07-11T18:17:49.267000Z,2025-07-11T16:12:39.670683Z,1060.0,C16TQU91,9730,59,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6871332e1bf135a7282f2486,65c1501098be0f409188762f,TIMED-OUT,Not Applicable,2025-07-11T15:54:01.692000Z,,,2025-12-17T15:11:49.267159Z,13735068.0,,3653,34,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6871332f35038dde57021389,67acd4bb175b263fb4a92c4d,APPROVED,Not Applicable,2025-07-11T15:52:23.044000Z,2025-07-11T16:07:25.242000Z,2025-07-11T18:17:49.505000Z,2025-07-11T16:07:25.720848Z,903.0,C16TQU91,1433,34,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
687133303c39ce57dae2879d,67348c5f2fd2234d5e8f7d58,APPROVED,Not Applicable,2025-07-11T15:52:23.797000Z,2025-07-11T16:06:42.584000Z,2025-07-11T18:17:49.778000Z,2025-07-11T16:06:43.091854Z,859.0,C16TQU91,1020,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
