"","participant_id","MAIN_LLMax","MAIN_mu","MAIN_sigma","MAIN_noise","MAIN_beta","MAIN_BIC","NULL_LLMax","NULL_beta","NULL_BIC","NULL_2_LLMax","NULL_2_beta","NULL_2_diff","NULL_2_BIC"
"mu",1,-30.2850576517003,0.560638349267568,1.49312330347445,1.94615617827472,10,77.8400677575458,-47.1178899043162,0.86032434544177,98.5532679221688,-43.4936378563576,1.01160098942735,0.267130712892395,95.6222519397878
"mu1",2,-41.8734514763251,-4,3.70129740653126,0.672885862682741,1.73922502161516,101.016855406795,-42.2872480285849,1.28103381317486,88.8919841707062,-41.330994606523,1.15267959610781,1.64981670478126,91.2969654401186
"mu2",3,-30.2860353138241,-0.289879231713408,0.758982009513972,0.2,2.67604105654232,77.8420230817935,-38.0996480321902,1.51221202087903,80.5167841779167,-36.1015001860377,1.47181663761138,0.310946800522506,80.8379765991481
"mu3",4,-15.0136703062371,-1.14069307682155,1.99390140535178,1.40354845288466,10,47.2972930666193,-20.9766924627094,2.69144561048519,46.2708730389551,-15.6161598008103,2.87638561198949,0.849920329318848,39.8672958286933
"mu4",5,-36.9042973645502,-0.73587567583403,0.2,0.23685115975675,1.80228317979732,91.0785471832457,-46.7786667055428,0.884279893112684,97.874821524622,-45.3832031230779,0.879249529102038,1.5118864290067,99.4013824732284
"mu5",6,-34.3770370788787,-0.345729236935692,0.478554630330523,1.33127166512671,7.49246279452055,86.0240266119026,-49.0066418723366,0.653498792757095,102.33077185821,-46.2305681826186,0.815749483711648,0.294477443268988,101.09611259231
"mu6",8,-31.7376474519657,0.64920079129082,0.2,4,9.65571979006465,80.7452473580766,-51.9860385419959,0,108.289565197528,-42.4475732298926,1.08091279375603,0.01,93.5301226868578
"mu7",9,-29.6736133642269,1.29622174175641,0.2,4,6.1629091511585,76.617179182599,-45.5708394353066,0.943350558323583,95.4591669841496,-43.4936378563576,1.01160098944385,1.19165534490487,95.6222519397878
"mu8",10,-35.5918836125715,-0.265447675816411,0.587322653871376,1.96473792589193,10,88.4537196792881,-48.8701491691973,0.737915895087496,102.057786451931,-44.4714988085606,0.944461681390446,0.307015283775982,97.5779738441939
"mu9",11,-19.2081120461054,-0.612829164941802,0.458822752564932,0.353463351641873,4.42101337276295,55.686176546356,-31.6577117616927,2.00736832319462,67.6329116369218,-29.4505850420665,1.87180229910798,0.783620951056946,67.5361463112056
"mu10",13,-8.39456096214225,0.297807490702036,0.501065508863165,0.600701526299407,10,34.0590743784297,-24.4223787464657,2.59341908190091,53.1622456064677,-20.9077028826442,2.44234726735886,0.686103737081867,50.450381992361
"mu11",15,-22.6017946124146,0.0221771529646898,0.542900850298759,0.2,3.25836096994555,62.4735416789744,-33.8538618175275,1.78817138286208,72.0252117485913,-27.5193743454533,1.99243034023438,0.832939615743235,63.6737249179793
"mu12",16,-33.7003093016324,-0.0626053560968069,0.534953384181955,0.484322736703828,2.85771424631732,84.67057105741,-43.5225075545364,1.12129207804827,91.3625032226092,-36.1015001860377,1.47181664267585,0.623268480375409,80.8379765991481
