"prolific_pid","question_observed","success_observed","time_observed","question_evaluated","human_evaluation","total_score","condition_label","observed_q_perceived_difficulty","observed_q_perceived_difficulty_indiv","observed_q_objective_difficulty"
"571178ec3d47e80011635b88","2_1",1,1,"1_1","1",9,"2.1_right_fast",0.396726726726727,0.21,0.234463276836158
"571178ec3d47e80011635b88","2_1",1,1,"1_2","1",9,"2.1_right_fast",0.396726726726727,0.21,0.234463276836158
"571178ec3d47e80011635b88","2_1",1,1,"1_3","1",9,"2.1_right_fast",0.396726726726727,0.21,0.234463276836158
"571178ec3d47e80011635b88","2_1",1,1,"1_4","1",9,"2.1_right_fast",0.396726726726727,0.21,0.234463276836158
"571178ec3d47e80011635b88","2_1",1,1,"1_5","0",9,"2.1_right_fast",0.396726726726727,0.21,0.234463276836158
"571178ec3d47e80011635b88","2_2",1,1,"1_1","1",9,"2.2_right_fast",0.566398891966759,0.2,0.536723163841808
"571178ec3d47e80011635b88","2_2",1,1,"1_2","1",9,"2.2_right_fast",0.566398891966759,0.2,0.536723163841808
"571178ec3d47e80011635b88","2_2",1,1,"1_3","1",9,"2.2_right_fast",0.566398891966759,0.2,0.536723163841808
"571178ec3d47e80011635b88","2_2",1,1,"1_4","1",9,"2.2_right_fast",0.566398891966759,0.2,0.536723163841808
"571178ec3d47e80011635b88","2_2",1,1,"1_5","0",9,"2.2_right_fast",0.566398891966759,0.2,0.536723163841808
"571178ec3d47e80011635b88","2_4",1,1,"1_1","1",9,"2.4_right_fast",0.518938053097345,0.42,0.675141242937853
"571178ec3d47e80011635b88","2_4",1,1,"1_2","1",9,"2.4_right_fast",0.518938053097345,0.42,0.675141242937853
"571178ec3d47e80011635b88","2_4",1,1,"1_3","1",9,"2.4_right_fast",0.518938053097345,0.42,0.675141242937853
"571178ec3d47e80011635b88","2_4",1,1,"1_4","1",9,"2.4_right_fast",0.518938053097345,0.42,0.675141242937853
"571178ec3d47e80011635b88","2_4",1,1,"1_5","0",9,"2.4_right_fast",0.518938053097345,0.42,0.675141242937853
"571178ec3d47e80011635b88","2_5",1,1,"1_1","1",9,"2.5_right_fast",0.760870712401055,0.91,0.915254237288136
"571178ec3d47e80011635b88","2_5",1,1,"1_2","1",9,"2.5_right_fast",0.760870712401055,0.91,0.915254237288136
"571178ec3d47e80011635b88","2_5",1,1,"1_3","1",9,"2.5_right_fast",0.760870712401055,0.91,0.915254237288136
"571178ec3d47e80011635b88","2_5",1,1,"1_4","1",9,"2.5_right_fast",0.760870712401055,0.91,0.915254237288136
"571178ec3d47e80011635b88","2_5",1,1,"1_5","1",9,"2.5_right_fast",0.760870712401055,0.91,0.915254237288136
"571178ec3d47e80011635b88","2_4",0,1,"1_1","1",9,"2.4_wrong_fast",0.518938053097345,0.68,0.675141242937853
"571178ec3d47e80011635b88","2_4",0,1,"1_2","1",9,"2.4_wrong_fast",0.518938053097345,0.68,0.675141242937853
"571178ec3d47e80011635b88","2_4",0,1,"1_3","1",9,"2.4_wrong_fast",0.518938053097345,0.68,0.675141242937853
"571178ec3d47e80011635b88","2_4",0,1,"1_4","0",9,"2.4_wrong_fast",0.518938053097345,0.68,0.675141242937853
"571178ec3d47e80011635b88","2_4",0,1,"1_5","0",9,"2.4_wrong_fast",0.518938053097345,0.68,0.675141242937853
"57dab7f721d77800018e42fe","2_3",1,0,"1_1","1",6,"2.3_right_slow",0.577430167597765,0.53,0.446327683615819
"57dab7f721d77800018e42fe","2_3",1,0,"1_2","1",6,"2.3_right_slow",0.577430167597765,0.53,0.446327683615819
"57dab7f721d77800018e42fe","2_3",1,0,"1_3","1",6,"2.3_right_slow",0.577430167597765,0.53,0.446327683615819
"57dab7f721d77800018e42fe","2_3",1,0,"1_4","1",6,"2.3_right_slow",0.577430167597765,0.53,0.446327683615819
"57dab7f721d77800018e42fe","2_3",1,0,"1_5","0",6,"2.3_right_slow",0.577430167597765,0.53,0.446327683615819
"57dab7f721d77800018e42fe","2_1",0,0,"1_1","1",6,"2.1_wrong_slow",0.396726726726727,0.44,0.234463276836158
"57dab7f721d77800018e42fe","2_1",0,0,"1_2","0",6,"2.1_wrong_slow",0.396726726726727,0.44,0.234463276836158
"57dab7f721d77800018e42fe","2_1",0,0,"1_3","0",6,"2.1_wrong_slow",0.396726726726727,0.44,0.234463276836158
"57dab7f721d77800018e42fe","2_1",0,0,"1_4","0",6,"2.1_wrong_slow",0.396726726726727,0.44,0.234463276836158
"57dab7f721d77800018e42fe","2_1",0,0,"1_5","0",6,"2.1_wrong_slow",0.396726726726727,0.44,0.234463276836158
"57dab7f721d77800018e42fe","2_2",0,0,"1_1","1",6,"2.2_wrong_slow",0.566398891966759,0.49,0.536723163841808
"57dab7f721d77800018e42fe","2_2",0,0,"1_2","0",6,"2.2_wrong_slow",0.566398891966759,0.49,0.536723163841808
"57dab7f721d77800018e42fe","2_2",0,0,"1_3","1",6,"2.2_wrong_slow",0.566398891966759,0.49,0.536723163841808
"57dab7f721d77800018e42fe","2_2",0,0,"1_4","0",6,"2.2_wrong_slow",0.566398891966759,0.49,0.536723163841808
"57dab7f721d77800018e42fe","2_2",0,0,"1_5","0",6,"2.2_wrong_slow",0.566398891966759,0.49,0.536723163841808
"57dab7f721d77800018e42fe","2_5",0,0,"1_1","1",6,"2.5_wrong_slow",0.760870712401055,0.63,0.915254237288136
