"question_observed","question_evaluated","success_observed","time_observed","true_conditional_prob"
"2_1","1_1",0,"FastSlow",0.754716981132076
"2_1","1_1",0,"SlowFast",0.7
"2_1","1_2",0,"FastSlow",0.377358490566038
"2_1","1_2",0,"SlowFast",0.1
"2_1","1_3",0,"FastSlow",0.30188679245283
"2_1","1_3",0,"SlowFast",0.166666666666667
"2_1","1_4",0,"FastSlow",0.207547169811321
"2_1","1_4",0,"SlowFast",0.1
"2_1","1_5",0,"FastSlow",0.0377358490566038
"2_1","1_5",0,"SlowFast",0
"2_1","1_1",1,"FastSlow",0.959016393442623
"2_1","1_1",1,"SlowFast",0.919463087248322
"2_1","1_2",1,"FastSlow",0.655737704918033
"2_1","1_2",1,"SlowFast",0.570469798657718
"2_1","1_3",1,"FastSlow",0.622950819672131
"2_1","1_3",1,"SlowFast",0.557046979865772
"2_1","1_4",1,"FastSlow",0.442622950819672
"2_1","1_4",1,"SlowFast",0.422818791946309
"2_1","1_5",1,"FastSlow",0.0819672131147541
"2_1","1_5",1,"SlowFast",0.0402684563758389
"2_2","1_1",0,"FastSlow",0.865546218487395
"2_2","1_1",0,"SlowFast",0.788732394366197
"2_2","1_2",0,"FastSlow",0.470588235294118
"2_2","1_2",0,"SlowFast",0.211267605633803
"2_2","1_3",0,"FastSlow",0.394957983193277
"2_2","1_3",0,"SlowFast",0.338028169014085
"2_2","1_4",0,"FastSlow",0.285714285714286
"2_2","1_4",0,"SlowFast",0.23943661971831
"2_2","1_5",0,"FastSlow",0.0420168067226891
"2_2","1_5",0,"SlowFast",0
"2_2","1_1",1,"FastSlow",0.964285714285714
"2_2","1_1",1,"SlowFast",0.944444444444444
"2_2","1_2",1,"FastSlow",0.785714285714286
"2_2","1_2",1,"SlowFast",0.675925925925926
"2_2","1_3",1,"FastSlow",0.803571428571429
"2_2","1_3",1,"SlowFast",0.592592592592593
"2_2","1_4",1,"FastSlow",0.553571428571429
"2_2","1_4",1,"SlowFast",0.453703703703704
"2_2","1_5",1,"FastSlow",0.125
"2_2","1_5",1,"SlowFast",0.0555555555555556
"2_3","1_1",0,"FastSlow",0.833333333333333
"2_3","1_1",0,"SlowFast",0.774193548387097
"2_3","1_2",0,"FastSlow",0.46875
"2_3","1_2",0,"SlowFast",0.32258064516129
"2_3","1_3",0,"FastSlow",0.395833333333333
"2_3","1_3",0,"SlowFast",0.193548387096774
"2_3","1_4",0,"FastSlow",0.260416666666667
"2_3","1_4",0,"SlowFast",0.161290322580645
"2_3","1_5",0,"FastSlow",0.03125
"2_3","1_5",0,"SlowFast",0
"2_3","1_1",1,"FastSlow",0.974683544303797
"2_3","1_1",1,"SlowFast",0.94017094017094
"2_3","1_2",1,"FastSlow",0.69620253164557
"2_3","1_2",1,"SlowFast",0.581196581196581
"2_3","1_3",1,"FastSlow",0.683544303797468
"2_3","1_3",1,"SlowFast",0.64957264957265
"2_3","1_4",1,"FastSlow",0.506329113924051
"2_3","1_4",1,"SlowFast",0.478632478632479
"2_3","1_5",1,"FastSlow",0.113924050632911
"2_3","1_5",1,"SlowFast",0.0512820512820513
"2_4","1_1",0,"FastSlow",0.877697841726619
"2_4","1_1",0,"SlowFast",0.82
"2_4","1_2",0,"FastSlow",0.489208633093525
"2_4","1_2",0,"SlowFast",0.32
"2_4","1_3",0,"FastSlow",0.431654676258993
"2_4","1_3",0,"SlowFast",0.39
"2_4","1_4",0,"FastSlow",0.280575539568345
"2_4","1_4",0,"SlowFast",0.16
"2_4","1_5",0,"FastSlow",0.0647482014388489
"2_4","1_5",0,"SlowFast",0.03
"2_4","1_1",1,"FastSlow",0.972222222222222
"2_4","1_1",1,"SlowFast",0.962025316455696
"2_4","1_2",1,"FastSlow",0.888888888888889
"2_4","1_2",1,"SlowFast",0.708860759493671
"2_4","1_3",1,"FastSlow",0.888888888888889
"2_4","1_3",1,"SlowFast",0.620253164556962
"2_4","1_4",1,"FastSlow",0.722222222222222
"2_4","1_4",1,"SlowFast",0.632911392405063
"2_4","1_5",1,"FastSlow",0.0833333333333333
"2_4","1_5",1,"SlowFast",0.0379746835443038
"2_5","1_1",0,"FastSlow",0.894736842105263
"2_5","1_1",0,"SlowFast",0.869281045751634
"2_5","1_2",0,"FastSlow",0.56140350877193
"2_5","1_2",0,"SlowFast",0.42483660130719
"2_5","1_3",0,"FastSlow",0.514619883040936
"2_5","1_3",0,"SlowFast",0.444444444444444
"2_5","1_4",0,"FastSlow",0.362573099415205
"2_5","1_4",0,"SlowFast",0.30718954248366
"2_5","1_5",0,"FastSlow",0.0584795321637427
"2_5","1_5",0,"SlowFast",0.0196078431372549
"2_5","1_1",1,"FastSlow",1
"2_5","1_1",1,"SlowFast",0.961538461538462
"2_5","1_2",1,"FastSlow",1
"2_5","1_2",1,"SlowFast",0.884615384615385
"2_5","1_3",1,"FastSlow",1
"2_5","1_3",1,"SlowFast",0.769230769230769
"2_5","1_4",1,"FastSlow",0.75
"2_5","1_4",1,"SlowFast",0.730769230769231
"2_5","1_5",1,"FastSlow",0.5
"2_5","1_5",1,"SlowFast",0.115384615384615
