"answer1_1","answer1_2","answer1_3","answer1_4","answer1_5","answer2_1","answer2_2","answer2_3","answer2_4","answer2_5","answer3_1","answer3_2","answer3_3","answer3_4","answer3_5","answer1000","time_on_question1_1","time_on_question1_2","time_on_question1_3","time_on_question1_4","time_on_question1_5","time_on_question2_1","time_on_question2_2","time_on_question2_3","time_on_question2_4","time_on_question2_5","time_on_question3_1","time_on_question3_2","time_on_question3_3","time_on_question3_4","time_on_question3_5","time_on_question1000","prolific_pid","quiz_phase_condition","answer1_1_mark","answer1_2_mark","answer1_3_mark","answer1_4_mark","answer1_5_mark","answer2_1_mark","answer2_2_mark","answer2_3_mark","answer2_4_mark","answer2_5_mark"
"821","4906","930","2300000","0","831","6807","938","106000000","0","633","0","0","0","555","0","10.01","20.30","22.21","27.10","40.00","10.38","16.15","21.06","26.86","40.00","10.27","20.00","20.00","20.00","5.47","40.00","66293da691cec8862619b1dc","SlowFast",1,1,1,0,0,1,1,1,0,0
"821","2597","922","0","9180","831","6900","914","3150000","82100","613","6501","920","0","89200","948000","18.96","9.89","24.63","40.00","38.06","18.59","15.80","13.72","20.65","30.40","13.48","14.37","12.41","20.00","19.00","28.33","6537fbfa80bf977dd6954d58","SlowFast",1,0,0,0,0,1,0,0,0,0
"821","5000","930","2030000","0","831","6800","938","2150000","0","633","6500","0","200000","10000","0","10.63","11.03","30.09","35.41","40.00","9.41","13.67","15.06","26.82","40.00","10.37","9.73","20.00","9.82","14.34","40.00","67816ff917d513a66eaadd01","SlowFast",1,0,1,0,0,1,0,1,0,0
"832","4906","1000","2300000","9200","831","7789","935","2500000","816666","633","7515","1000","182000","90000","1234444","20.47","25.11","15.06","36.70","26.92","10.68","16.61","18.81","18.08","18.88","9.21","17.85","20.86","25.96","19.41","38.03","67d1f6824f74bd16996512c0","FastSlow",0,1,0,0,0,1,0,0,0,0
"821","0","0","0","0","821","0","0","1600000","0","0","0","0","0","0","0","39.90","23.98","38.83","40.00","34.17","32.88","14.84","22.90","38.94","23.69","20.00","3.88","20.00","20.00","2.86","40.00","66ad1e08076381b48ffb7d79","SlowFast",1,0,0,0,0,0,0,0,0,0
"821","0","0","0","0","731","0","1000","0","0","653","7300","1016","2100000","0","0","14.04","40.00","40.00","40.00","40.00","16.62","20.00","12.10","20.00","20.00","28.74","20.07","18.65","36.77","40.00","40.00","5aa838354eecca0001de0a20","FastSlow",1,0,0,0,0,0,0,0,0,0
"521","4908","930","2370000","0","831","6807","938","3490000","0","633","6515","910","2820000","0","0","10.32","36.72","15.56","19.13","40.00","10.41","33.94","18.21","15.80","40.00","15.60","19.76","19.45","12.50","20.00","40.00","661c5d9450ded976adbd5b24","SlowFast",0,0,1,1,0,1,1,1,1,0
"821","4906","903","1020000","11687","431","6807","0","1060000","82254","633","6583","905","1010000","90233","1150000","8.48","15.31","28.21","27.47","38.18","11.71","15.97","20.00","12.01","19.58","8.66","14.29","18.31","8.86","11.64","29.86","5b7df1f09fcd3c00011904a4","FastSlow",1,1,0,0,0,0,1,0,0,0
"821","4906","830","2370000","92587","831","6807","938","3490000","82947","633","0","910","2820000","0","10001938","7.41","23.07","12.17","9.50","39.08","9.62","23.72","10.77","16.31","30.01","9.99","20.00","15.38","7.76","20.00","14.32","6672d841976c5e0961cc8883","SlowFast",1,1,0,1,0,1,1,1,1,1
"821","4960","930","23000","9200","831","6800","938","3490000","8220","633","6515","900","2820000","90000","9472894","13.69","37.86","32.91","38.34","38.95","17.05","37.94","22.75","19.33","36.26","17.87","14.74","18.84","15.47","17.71","36.48","6782b152b9f7ae9d753eebea","SlowFast",1,0,1,0,0,1,0,1,1,0
"821","4906","930","10200000","13850","831","6807","807","108000000","88823","633","6708","890","11100000","10087","5668896","8.14","22.65","13.39","14.86","8.92","8.06","16.03","4.98","10.44","8.34","12.80","5.18","11.94","8.33","5.19","6.74","654180b5d949b32a76c3b5fe","SlowFast",1,1,1,0,0,1,1,0,0,0
"821","4906","930","2370000","0","831","6807","938","3490000","10937","633","6515","910","2820000","0","0","20.66","28.31","28.48","28.09","40.00","14.09","22.34","21.47","23.16","27.83","14.21","17.45","15.75","17.54","20.00","40.00","68116e00179b99f42ab53257","SlowFast",1,1,1,1,0,1,1,1,1,0
"821","4906","930","92795","0","831","6807","938","2779000","0","633","6415","910","2820000","89763","0","5.80","16.40","14.68","6.83","40.00","5.70","10.32","11.92","16.29","20.00","6.07","7.83","7.28","15.48","21.45","40.00","672a4909b6dfbe6ba024ddeb","FastSlow",1,1,1,0,0,1,1,1,0,0
"821","4906","910","0","0","831","0","0","0","0","633","6515","0","2820000","0","0","15.06","26.39","37.80","40.00","40.00","11.87","20.00","20.00","20.00","20.00","13.31","26.95","40.00","25.89","40.00","40.00","5c0595bb1a20110001e9f1e1","FastSlow",1,1,0,0,0,1,0,0,0,0
"821","4905","930","237000","92573","831","6807","938","0","0","633","6515","910","2820000","90365","954303","15.59","18.05","22.66","30.14","31.18","14.45","11.81","13.49","20.00","20.00","10.49","11.86","13.14","18.70","17.85","39.59","65ea41d8c31c744b580de3ee","FastSlow",1,0,1,0,0,1,1,1,0,0
"821","5006","930","2370000","0","831","7007","938","3490000","0","633","6515","910","0","0","0","11.86","21.75","27.80","22.66","40.00","13.42","21.91","19.80","26.57","40.00","12.23","14.86","16.69","20.00","20.00","40.00","6938b8bae3f68aa762420d64","SlowFast",1,0,1,1,0,1,0,1,1,0
"821","4906","930","2370000","92575","831","6807","938","3490000","82947","633","6515","910","2820000","90366","0","16.52","12.37","21.67","18.76","13.34","8.70","7.28","8.24","15.26","15.75","6.10","9.90","7.46","14.49","11.84","40.00","650d9e7cc7ca0c04a4530515","SlowFast",1,1,1,1,1,1,1,1,1,1
"821","4906","930","23700000","924766","831","0","0","3490000","0","633","6515","911","2820000","90378","1054305676","11.88","19.74","30.23","23.45","38.23","14.52","20.00","20.00","15.01","20.00","8.62","20.87","27.26","13.07","36.03","39.13","60fdc72e09443e94b6697b62","FastSlow",1,1,1,0,0,1,0,0,1,0
"821","4906","930","2370000","0","831","6807","938","0","0","633","6415","910","2820000","0","0","5.64","12.67","22.03","20.74","40.00","7.95","16.88","8.11","20.00","20.00","8.04","14.17","17.87","25.20","40.00","40.00","677ad06ebf62b45f68bc3ed4","FastSlow",1,1,1,1,0,1,1,1,0,0
"821","5056","930","230000","0","831","6800","938","0","85436","633","6605","940","2820000","0","9543900","10.12","28.42","18.81","17.19","40.00","7.82","11.81","17.72","20.00","12.02","9.58","12.03","19.40","8.66","40.00","17.97","67a577bd526d53b904219c1d","FastSlow",1,0,1,0,0,1,0,1,0,0
"821","0","0","1000000","0","831","0","975","0","83999","633","6514","905","220000","10000","1200000","31.43","40.00","40.00","36.96","40.00","15.19","20.00","16.58","20.00","19.14","16.05","21.02","16.70","14.40","16.83","16.82","67018ddda66fca6195d1070f","FastSlow",1,0,0,0,0,1,0,0,0,0
"821","6540","930","0","1245677","831","0","938","3490000","0","633","0","0","2820000","0","0","27.61","27.06","31.90","40.00","27.92","11.93","40.00","11.62","20.43","6.56","12.66","18.87","20.00","14.38","4.49","40.00","678f46cd0f21903076471f34","SlowFast",1,0,1,0,0,1,0,1,1,0
"421","4806","930","0","0","831","0","938","0","0","0","0","0","0","0","0","16.74","30.07","22.32","40.00","40.00","31.76","40.00","25.37","40.00","40.00","20.00","20.00","20.00","20.00","20.00","40.00","66c30398cfdcf65e1ef278bf","SlowFast",0,0,1,0,0,1,0,1,0,0
"821","4907","921","2370000","0","831","3800","0","34900000","83000","633","6455","910","2820000","92000","10000000","16.91","22.30","36.91","32.89","40.00","11.13","18.95","20.00","19.76","11.55","9.54","18.33","22.33","18.60","12.75","25.39","6610ca6d1c7fe8e3861d0de2","FastSlow",1,0,0,1,0,1,0,0,0,0
"821","5216","1724","10200000","120605","831","0","0","1600000","0","633","6515","1020","11000000","164000","0","20.36","19.55","35.83","25.57","36.50","12.74","20.00","20.00","18.27","20.00","19.35","21.93","30.32","36.64","26.04","40.00","6560d73f80824412a8a74260","FastSlow",1,0,0,0,0,1,0,0,0,0
