Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID104,Authenticity check: QID106,Authenticity check: QID124,Authenticity check: QID125,Authenticity check: QID126,Authenticity check: QID127,Authenticity check: QID128,Authenticity check: QID130,Authenticity check: QID137,Authenticity check: QID138,Authenticity check: QID139,Authenticity check: QID140,Authenticity check: QID141,Authenticity check: QID5,Authenticity check: QID6,Authenticity check: QID93,Authenticity check: QID97,Authenticity check: QID99
693c4ee2107b9fe25c98cd20,693607ce95c6f9ca7d708da0,APPROVED,Not Applicable,2025-12-12T17:20:37.485000Z,2025-12-12T17:30:19.575000Z,2025-12-13T10:55:43.393000Z,2025-12-12T17:30:19.911043Z,583.0,CCPXUCJH,84,34,Female,Asian,Korea,United States,Korea,Korean,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c4f00637f25339be26003,66293da691cec8862619b1dc,APPROVED,Not Applicable,2025-12-12T17:21:09.426000Z,2025-12-12T17:30:50.657000Z,2025-12-13T10:55:43.843000Z,2025-12-12T17:30:50.997904Z,582.0,CCPXUCJH,1309,47,Female,White,United States,United States,United States,English,No,Part-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c4f487bfa940804a4abb6,5aa838354eecca0001de0a20,APPROVED,Not Applicable,2025-12-12T17:22:22.906000Z,2025-12-12T17:37:56.893000Z,2025-12-13T10:55:44.249000Z,2025-12-12T17:37:57.247973Z,934.0,CCPXUCJH,429,45,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,N/A
693c4f59273470f104e9b6b1,6537fbfa80bf977dd6954d58,APPROVED,Not Applicable,2025-12-12T17:22:39.335000Z,2025-12-12T17:34:14.451000Z,2025-12-13T10:55:44.728000Z,2025-12-12T17:34:14.812075Z,696.0,CCPXUCJH,1687,66,Male,White,United States,United States,United States,English,No,Part-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c4f62988e23abd31bb330,67d1f6824f74bd16996512c0,APPROVED,Not Applicable,2025-12-12T17:23:06.171000Z,2025-12-12T17:35:09.031000Z,2025-12-13T10:55:45.302000Z,2025-12-12T17:35:09.414428Z,723.0,CCPXUCJH,1984,68,Male,White,Lithuania,United States,Russian Federation,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c4fc876e54dc77f3e6e0a,66ad1e08076381b48ffb7d79,APPROVED,Not Applicable,2025-12-12T17:24:31.892000Z,2025-12-12T17:36:48.998000Z,2025-12-13T10:55:45.716000Z,2025-12-12T17:36:49.396614Z,738.0,CCPXUCJH,680,25,Male,White,United States,United States,United States,English,No,Part-Time,N/A,Pass,Pass,Pass,N/A,N/A,Pass,N/A,N/A,N/A,N/A,Pass,N/A,Pass,Pass,Pass,N/A,N/A
693c4ff0145030d0e810ed25,67816ff917d513a66eaadd01,APPROVED,Not Applicable,2025-12-12T17:25:09.618000Z,2025-12-12T17:34:15.269000Z,2025-12-13T10:55:46.166000Z,2025-12-12T17:34:15.607281Z,546.0,CCPXUCJH,1486,62,Male,White,United Kingdom,United States,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,N/A,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c509a9fceca5a21aac10b,661c5d9450ded976adbd5b24,APPROVED,Not Applicable,2025-12-12T17:28:01.229000Z,2025-12-12T17:38:54.282000Z,2025-12-13T10:55:46.595000Z,2025-12-12T17:38:54.635315Z,654.0,CCPXUCJH,733,55,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c52bcdabf29d8e4123700,6782b152b9f7ae9d753eebea,APPROVED,Not Applicable,2025-12-12T17:37:05.111000Z,2025-12-12T17:49:14.845000Z,2025-12-13T10:55:47.021000Z,2025-12-12T17:49:15.194300Z,730.0,CCPXUCJH,1214,28,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c52ee5783cb6d3b252990,5b7df1f09fcd3c00011904a4,APPROVED,Not Applicable,2025-12-12T17:37:53.069000Z,2025-12-12T17:46:01.602000Z,2025-12-13T10:55:47.430000Z,2025-12-12T17:46:01.941233Z,489.0,CCPXUCJH,1969,36,Male,Other,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c52f1a24a88b7812a42dc,6914e0900c27e175798f4983,APPROVED,Not Applicable,2025-12-12T17:38:02.770000Z,2025-12-12T18:03:49.422000Z,2025-12-13T10:55:47.850000Z,2025-12-12T18:03:49.767125Z,1547.0,CCPXUCJH,419,44,Male,Black,Nigeria,United States,DATA_EXPIRED,English,No,Full-Time,N/A,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c52f66e9353e88063300f,66be4c98197a6d1a726134d4,APPROVED,Not Applicable,2025-12-12T17:38:02.888000Z,2025-12-12T18:06:54.987000Z,2025-12-13T10:55:48.268000Z,2025-12-12T18:06:55.334217Z,1733.0,CCPXUCJH,1135,37,Female,White,United States,United States,Ireland,English,No,DATA_EXPIRED,N/A,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass
693c533ddcad2b5a4f5d85cf,65ea41d8c31c744b580de3ee,APPROVED,Not Applicable,2025-12-12T17:39:14.985000Z,2025-12-12T17:53:13.784000Z,2025-12-13T10:55:48.704000Z,2025-12-12T17:53:14.150299Z,839.0,CCPXUCJH,1090,52,Female,White,Canada,United States,Canada,English,No,Part-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5345dcbc6e0221f82081,68116e00179b99f42ab53257,APPROVED,Not Applicable,2025-12-12T17:39:27.304000Z,2025-12-12T17:50:58.364000Z,2025-12-13T10:55:49.126000Z,2025-12-12T17:50:58.723773Z,692.0,CCPXUCJH,1051,54,Female,White,United States,United States,United States,English,Yes,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c536485439a8ac712dc5c,672a4909b6dfbe6ba024ddeb,APPROVED,Not Applicable,2025-12-12T17:39:53.942000Z,2025-12-12T17:51:44.296000Z,2025-12-13T10:55:50.473000Z,2025-12-12T17:51:44.654844Z,711.0,CCPXUCJH,1399,64,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
693c537b2f135cc001f00514,5c0595bb1a20110001e9f1e1,APPROVED,Not Applicable,2025-12-12T17:40:15.867000Z,2025-12-12T17:52:44.024000Z,2025-12-13T10:55:50.930000Z,2025-12-12T17:52:44.371968Z,749.0,CCPXUCJH,1287,43,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,N/A,Pass,N/A,Pass,Pass,N/A,N/A,N/A,Pass,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c538df1443164e9a866f6,6938b8bae3f68aa762420d64,APPROVED,Not Applicable,2025-12-12T17:40:38.270000Z,2025-12-12T17:54:25.618000Z,2025-12-13T10:55:51.376000Z,2025-12-12T17:54:25.963923Z,828.0,CCPXUCJH,57,27,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,N/A,N/A,N/A
693c5397fb4159a4577916c1,6672d841976c5e0961cc8883,APPROVED,Not Applicable,2025-12-12T17:40:43.571000Z,2025-12-12T17:47:56.502000Z,2025-12-13T10:55:51.798000Z,2025-12-12T17:47:56.855692Z,433.0,CCPXUCJH,297,31,Male,White,United Kingdom,United States,United Kingdom,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c544741a601c926b53db2,666253e8c992de971c27b622,APPROVED,Not Applicable,2025-12-12T17:43:43.164000Z,2025-12-12T18:07:21.710000Z,2025-12-13T10:55:52.210000Z,2025-12-12T18:07:22.057630Z,1419.0,CCPXUCJH,1899,57,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,N/A,Pass,N/A,N/A,N/A,N/A,Pass,Pass,Pass,N/A,Pass,Pass,N/A,Pass,Pass,Pass
693c5483933b101e68123bc5,67a536701deb6e6c96611481,APPROVED,Not Applicable,2025-12-12T17:44:43.969000Z,2025-12-12T17:58:29.439000Z,2025-12-13T10:55:52.640000Z,2025-12-12T17:58:29.790523Z,826.0,CCPXUCJH,1072,74,Female,White,United Kingdom,United States,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,Pass,N/A,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
693c54989836f4cfd89a34b4,654180b5d949b32a76c3b5fe,APPROVED,Not Applicable,2025-12-12T17:44:59.802000Z,2025-12-12T17:50:04.265000Z,2025-12-13T10:55:53.078000Z,2025-12-12T17:50:04.610514Z,305.0,CCPXUCJH,1926,43,Male,Asian,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c54f9de058c208fb7c3e8,60fdc72e09443e94b6697b62,APPROVED,Not Applicable,2025-12-12T17:46:37.452000Z,2025-12-12T17:58:10.191000Z,2025-12-13T10:55:53.484000Z,2025-12-12T17:58:10.537371Z,693.0,CCPXUCJH,120,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
693c555fef5ede04282edead,6648b67329cd00b8b3d15961,APPROVED,Not Applicable,2025-12-12T17:48:18.022000Z,2025-12-12T17:58:44.062000Z,2025-12-13T10:55:53.909000Z,2025-12-12T17:58:44.404772Z,627.0,CCPXUCJH,732,35,Female,Asian,Korea,United States,Korea,Korean,No,Full-Time,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c55c0da590e0a9b3ff2d5,650d9e7cc7ca0c04a4530515,APPROVED,Not Applicable,2025-12-12T17:49:55.841000Z,2025-12-12T17:56:36.346000Z,2025-12-13T10:55:54.375000Z,2025-12-12T17:56:36.964247Z,401.0,CCPXUCJH,909,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c55ce107b9fe25c98cdef,677ad06ebf62b45f68bc3ed4,APPROVED,Not Applicable,2025-12-12T17:50:13.262000Z,2025-12-12T17:59:26.332000Z,2025-12-13T10:55:54.794000Z,2025-12-12T17:59:26.699587Z,554.0,CCPXUCJH,234,31,Male,White,Netherlands,United States,Netherlands,Dutch,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c55d8f91e935311ae2d2e,67018ddda66fca6195d1070f,APPROVED,Not Applicable,2025-12-12T17:50:20.845000Z,2025-12-12T18:02:11.141000Z,2025-12-13T10:55:55.220000Z,2025-12-12T18:02:11.501572Z,711.0,CCPXUCJH,1326,50,Female,Black,United States,United States,United States,English,No,Part-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,N/A
693c55f496f07a39362f3275,67f2b914d702155cbc0a3a2c,APPROVED,Not Applicable,2025-12-12T17:56:16.971000Z,2025-12-12T18:16:02.243000Z,2025-12-13T10:55:55.619000Z,2025-12-12T18:16:02.574125Z,1186.0,CCPXUCJH,1125,22,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,N/A,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c55f61248964030f07a77,66c30398cfdcf65e1ef278bf,APPROVED,Not Applicable,2025-12-12T17:50:52.530000Z,2025-12-12T18:03:02.285000Z,2025-12-13T10:55:56.073000Z,2025-12-12T18:03:02.647832Z,730.0,CCPXUCJH,1396,69,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,Pass,N/A,Pass,Pass,Pass,N/A,N/A,Pass,N/A,N/A,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c560156c7d4629a307eec,6122f332c9f0e8bb1209dc7d,APPROVED,Not Applicable,2025-12-12T17:51:12.091000Z,2025-12-12T18:07:06.442000Z,2025-12-13T10:55:56.513000Z,2025-12-12T18:07:06.779819Z,955.0,CCPXUCJH,1126,56,Female,White,United States,United States,United States,English,Yes,Full-Time,N/A,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,Pass
693c56147df836957c77a5e6,67460cbb61e0f43f89d299dd,APPROVED,Not Applicable,2025-12-12T17:51:18.613000Z,2025-12-12T18:12:01.064000Z,2025-12-13T10:55:56.899000Z,2025-12-12T18:12:01.468993Z,1243.0,CCPXUCJH,344,30,Male,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c561d9cac4410214b4d3a,6610ca6d1c7fe8e3861d0de2,APPROVED,Not Applicable,2025-12-12T17:51:33.884000Z,2025-12-12T18:03:18.243000Z,2025-12-13T10:55:57.319000Z,2025-12-12T18:03:18.562580Z,705.0,CCPXUCJH,1296,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
